Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5VIN1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",19.751,-40.142,90.0,top
24VIN1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",19.751,-28.966,90.0,top
AUX1,Conn_01x03,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,27.817,-50.8,90.0,top
AUX1PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,29.317,-61.5175,180.0,top
AUX2,Conn_01x03,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,35.9195,-50.8,90.0,top
AUX2PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,37.4195,-61.5175,180.0,top
AUX3,Conn_01x03,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,44.022,-50.8,90.0,top
AUX3PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,45.522,-61.5175,180.0,top
C1,10pF,C_1206_3216Metric,20.828,-47.957,-90.0,bottom
C2,10pF,C_1206_3216Metric,20.828,-53.291,90.0,bottom
FAN1,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-18.801,0.0,top
FAN1PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,53.198,-26.575,90.0,top
FAN2,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-33.228,0.0,top
FAN2PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,53.198,-41.021,90.0,top
FAN3,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-47.752,0.0,top
FAN3PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,53.198,-55.626,90.0,top
FAN4,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.556,-61.93,0.0,top
FAN4PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,53.198,-69.723,90.0,top
J1,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,29.317,-68.585,180.0,top
J2,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,37.4195,-68.585,180.0,top
J3,Conn_02x02_Odd_Even,PinHeader_2x02_P2.54mm_Vertical,45.522,-68.585,180.0,top
J4,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical,27.178,-74.168,90.0,top
J5,Conn_01x06_Male,PinHeader_1x06_P2.54mm_Vertical,47.625,-74.168,90.0,top
Q1,BSS138,SOT-23,49.403,-26.675,0.0,bottom
Q2,BSS138,SOT-23,49.403,-41.121,0.0,bottom
Q3,BSS138,SOT-23,49.403,-55.726,0.0,bottom
Q4,BSS138,SOT-23,49.403,-69.823,0.0,bottom
Q8,wsf3085,TO-252-2,66.675,-37.338,180.0,bottom
Q9,wsf3085,TO-252-2,66.675,-46.482,180.0,bottom
Q10,wsf3085,TO-252-2,66.675,-55.626,180.0,bottom
R1,10K,R_1206_3216Metric,57.8,-38.054,180.0,bottom
R2,10K,R_1206_3216Metric,57.8,-23.627,180.0,bottom
R3,10K,R_1206_3216Metric,51.196,-23.627,180.0,bottom
R4,10K,R_1206_3216Metric,57.8,-52.578,180.0,bottom
R5,10K,R_1206_3216Metric,57.668,-66.756,180.0,bottom
R6,10K,R_1206_3216Metric,51.196,-38.054,180.0,bottom
R7,10K,R_1206_3216Metric,51.196,-52.578,180.0,bottom
R8,10K,R_1206_3216Metric,51.064,-66.756,180.0,bottom
R15,10K,R_1206_3216Metric,66.7864,-16.51,180.0,bottom
R16,10K,R_1206_3216Metric,66.7864,-21.59,180.0,bottom
R17,10K,R_1206_3216Metric,66.7864,-19.05,180.0,bottom
U1,L7812,TO-220-3,16.764,-50.7195,-90.0,top
U2,tiny2040,rp2040_zero,27.778,-24.1304,0.0,top
