Comment,Designator,Footprint,LCSC
10pF,"C1,C2",C_1206_3216Metric,C107172
10K,"R1,R10,R11,R12,R13,R14,R2,R3,R4,R5,R6,R7,R8,R9",R_1206_3216Metric,C144471
BSS138,"Q1,Q2,Q3,Q4,Q5,Q6,Q7",SOT-23,C52895
tiny2040,U2,tiny2040,
Conn_01x02,5VIN1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
Conn_01x04,FAN4,FanPinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,FAN3,FanPinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,FAN2,FanPinHeader_1x04_P2.54mm_Vertical,
Conn_01x04,FAN1,FanPinHeader_1x04_P2.54mm_Vertical,
Conn_01x03,FAN4PWR1,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,FAN3PWR1,PinHeader_1x03_P2.54mm_Vertical,
Conn_01x03,FAN2PWR1,PinHeader_1x03_P2.54mm_Vertical,
L7812,U1,TO-220-3,
Conn_01x02,24VIN1,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
Conn_02x03_Odd_Even,AUX3PWR1,PinHeader_2x03_P2.54mm_Vertical,
Conn_02x03_Odd_Even,AUX2PWR1,PinHeader_2x03_P2.54mm_Vertical,
Conn_02x03_Odd_Even,AUX1PWR1,PinHeader_2x03_P2.54mm_Vertical,
Conn_01x04,AUX3,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,
Conn_01x04,AUX2,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,
Conn_01x04,AUX1,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,
Conn_01x03,FAN1PWR1,PinHeader_1x03_P2.54mm_Vertical,
