Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
5VIN1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",19.751,-40.142,90.0,top
24VIN1,Conn_01x02,"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",19.751,-28.966,90.0,top
AUX1,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,37.652,-44.946,0.0,top
AUX1PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,27.574,-47.046,90.0,top
AUX2,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,37.652,-53.0485,0.0,top
AUX2PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,27.574,-55.1485,90.0,top
AUX3,Conn_01x04,JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical,37.652,-61.151,0.0,top
AUX3PWR1,Conn_02x03_Odd_Even,PinHeader_2x03_P2.54mm_Vertical,27.574,-63.251,90.0,top
C1,10pF,C_1206_3216Metric,21.478,-47.962,-90.0,bottom
C2,10pF,C_1206_3216Metric,21.478,-53.296,90.0,bottom
FAN1,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-18.801,0.0,top
FAN1PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,52.212,-25.913,90.0,top
FAN2,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-31.501,0.0,top
FAN2PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,52.212,-38.5283,90.0,top
FAN3,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.698,-44.201,0.0,top
FAN3PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,52.212,-51.1437,90.0,top
FAN4,Conn_01x04,FanPinHeader_1x04_P2.54mm_Vertical,50.688,-56.901,0.0,top
FAN4PWR1,Conn_01x03,PinHeader_1x03_P2.54mm_Vertical,52.212,-63.759,90.0,top
Q1,BSS138,SOT-23,48.402,-26.675,0.0,bottom
Q2,BSS138,SOT-23,48.402,-39.375,0.0,bottom
Q3,BSS138,SOT-23,48.402,-52.075,0.0,bottom
Q4,BSS138,SOT-23,46.878,-64.013,0.0,bottom
Q5,BSS138,SOT-23,30.4015,-39.624,180.0,bottom
Q6,BSS138,SOT-23,39.5455,-39.624,180.0,bottom
Q7,BSS138,SOT-23,40.7015,-27.686,180.0,bottom
R1,10K,R_1206_3216Metric,57.8,-36.327,180.0,bottom
R2,10K,R_1206_3216Metric,57.8,-23.627,180.0,bottom
R3,10K,R_1206_3216Metric,51.196,-23.627,180.0,bottom
R4,10K,R_1206_3216Metric,57.8,-49.027,180.0,bottom
R5,10K,R_1206_3216Metric,57.8,-61.727,180.0,bottom
R6,10K,R_1206_3216Metric,51.196,-36.327,180.0,bottom
R7,10K,R_1206_3216Metric,51.196,-49.027,180.0,bottom
R8,10K,R_1206_3216Metric,51.196,-61.727,180.0,bottom
R9,10K,R_1206_3216Metric,33.782,-39.624,90.0,bottom
R10,10K,R_1206_3216Metric,42.926,-39.624,-90.0,bottom
R11,10K,R_1206_3216Metric,40.7015,-30.988,180.0,bottom
R12,10K,R_1206_3216Metric,27.178,-39.624,90.0,bottom
R13,10K,R_1206_3216Metric,36.322,-39.624,90.0,bottom
R14,10K,R_1206_3216Metric,40.763,-24.384,180.0,bottom
U1,L7812,TO-220-3,17.414,-50.7245,-90.0,top
U2,tiny2040,tiny2040,28.047,-25.7462,0.0,top
